Date,latitude,longitude,mag
736879.0,19.4081667,-155.2628333,3.56
736879.0,19.4145,-155.2746667,3.45
736879.0,19.3973333,-155.269,3.2
736879.0,19.416,-155.2768333,3.61
736879.0,19.4093333,-155.2608333,2.88
736879.0,19.411,-155.2621667,2.91
736878.0,19.416,-155.2746667,5.3
736878.0,19.4185,-155.2875,3.84
736878.0,19.3998333,-155.266,3.58
736878.0,19.4128333,-155.2668333,3.46
736878.0,19.4143333,-155.2746667,3.3
736878.0,19.4001667,-155.2673333,2.78
736878.0,19.1901667,-155.4193333,1.53
736878.0,19.4155,-155.2786667,3.89
736878.0,19.4176667,-155.2763333,3.98
736878.0,19.4128333,-155.2643333,3.61
736878.0,19.4106667,-155.2705,3.17
736878.0,19.1863333,-155.467,2.16
736877.0,19.415,-155.2625,3.29
736877.0,19.2018333,-155.4516667,3.18
736877.0,19.399,-155.2723333,3.71
736877.0,19.398,-155.2706667,3.71
736877.0,19.4183333,-155.2713333,3.33
736877.0,19.4136667,-155.2901667,3.52
736877.0,19.4195,-155.2851667,3.67
736877.0,19.4136667,-155.275,2.62
736877.0,19.4141667,-155.277,3.7
736877.0,19.4145,-155.2766667,3.79
736877.0,19.4171667,-155.273,3.69
736877.0,19.4123333,-155.2616667,3.79
736877.0,19.415,-155.2753333,3.61
736877.0,19.4173333,-155.2775,3.87
736877.0,19.4088333,-155.2611667,3.72
736877.0,19.4125,-155.2758333,3.6
736877.0,19.4095,-155.2826667,2.92
736876.0,19.3976667,-155.2741667,3.66
736876.0,19.4111667,-155.2755,3.72
736876.0,19.517,-156.0826667,2.37
736876.0,19.415,-155.2773333,3.78
736876.0,19.3995,-155.2691667,3.02
736876.0,19.4185,-155.2726667,3.59
736876.0,19.4113333,-155.2818333,3.23
736876.0,19.3388333,-155.2948333,3.79
736875.0,19.4166667,-155.2806667,3.38
736875.0,19.4161667,-155.2743333,3.4
736875.0,19.4135,-155.2715,3.1
736875.0,19.4176667,-155.2665,3.44
736875.0,19.4118333,-155.2681667,3.5
736875.0,19.4,-155.26,3.54
736875.0,19.4193333,-155.2751667,3.41
736875.0,19.4126667,-155.2755,3.35
736875.0,19.4005,-155.2748333,3.53
736875.0,19.4143333,-155.2795,3.31
736875.0,19.4183333,-155.2751667,4.18
736875.0,19.398,-155.2748333,3.97
736875.0,19.4138333,-155.2651667,3.36
736875.0,19.4,-155.2703333,3.21
736875.0,19.418,-155.2768333,4.11
736875.0,19.3186667,-155.1813333,0.72
736874.0,19.4136667,-155.2805,5.2
736874.0,19.4131667,-155.2755,3.67
736874.0,19.3966667,-155.2758333,3.73
736874.0,19.3993333,-155.2691667,3.04
736874.0,19.4143333,-155.2655,3.5
736874.0,19.4168333,-155.2773333,3.45
736874.0,19.412,-155.2846667,3.31
736874.0,19.4016667,-155.2661667,3.49
736874.0,19.4168333,-155.2761667,3.57
736874.0,19.4166667,-155.2765,4.07
736874.0,19.4143333,-155.2755,3.29
736874.0,19.3958333,-155.2758333,3.33
736874.0,19.41,-155.2631667,3.54
736874.0,19.4165,-155.2781667,3.65
736874.0,19.4153333,-155.2755,3.5
736874.0,19.412,-155.2691667,3.53
736873.0,19.4158333,-155.276,3.0
736873.0,19.417,-155.2725,3.45
736873.0,19.4281667,-155.2523333,3.64
736873.0,19.4005,-155.2703333,3.31
736873.0,19.4166667,-155.2678333,3.2
736873.0,19.4156667,-155.2891667,3.46
736873.0,19.4108333,-155.2816667,3.6
736873.0,19.3988333,-155.2765,3.83
736873.0,19.4173333,-155.2783333,3.98
736873.0,19.4126667,-155.2763333,3.59
736873.0,19.417,-155.2781667,4.07
736873.0,19.4186667,-155.2791667,4.03
736873.0,19.3985,-155.2738333,3.72
736873.0,19.4146667,-155.277,3.06
736872.0,19.4161667,-155.2788333,3.92
736872.0,19.4083333,-155.2716667,3.66
736872.0,19.4218333,-155.2895,3.78
736872.0,19.3993333,-155.273,3.71
736872.0,19.4175,-155.2823333,3.04
736872.0,19.4118333,-155.2748333,3.51
736872.0,19.417,-155.2755,3.52
736872.0,19.397,-155.2693333,3.89
736872.0,19.3986667,-155.2761667,3.43
736871.0,19.3971667,-155.269,3.27
736871.0,19.4163333,-155.277,3.68
736871.0,19.4003333,-155.2733333,3.71
736871.0,19.4166667,-155.2763333,3.59
736871.0,19.4163333,-155.278,3.83
736871.0,19.4026667,-155.2663333,3.03
736871.0,19.4181667,-155.2775,3.36
736871.0,19.3983333,-155.2736667,3.61
736871.0,19.4146667,-155.2788333,3.67
736871.0,19.4158333,-155.2783333,3.87
736871.0,19.3965,-155.274,3.3
736871.0,19.4078333,-155.2796667,3.65
736871.0,19.202,-155.4511667,3.6
736871.0,19.4115,-155.283,5.2
736871.0,19.3951667,-155.2753333,3.76
736871.0,19.4188333,-155.273,3.53
736871.0,19.3106667,-155.1396667,1.88
736871.0,19.4178333,-155.2786667,3.63
736871.0,19.4148333,-155.2753333,3.45
736871.0,19.3993333,-155.2753333,3.32
